year,capture_period,entity_name,entity_code,breakdown,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%)
2022,12 Month,Acton-Boxborough - Acton-Boxborough Regional High,06000505,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Attleboro - Attleboro Community Academy,00160515,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Auburn - Auburn Senior High,00170505,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Ayer Shirley School District - Ayer Shirley Regional High School,06160505,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Barnstable - Barnstable High,00200505,American Indian or Alaska Native,2,,,,,,,,,
2022,12 Month,Belchertown - Belchertown High,00240505,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Boston - Another Course To College,00350541,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Boston - Boston Arts Academy,00350546,American Indian or Alaska Native,2,,,,,,,,,
2022,12 Month,Boston - Boston Latin,00350560,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Boston - Community Academy,00350518,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Boston - Dr. William Henderson Upper,00350426,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Boston - Snowden International School at Copley,00350690,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Boston - TechBoston Academy,00350657,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,08100605,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Brockton - Brockton High,00440505,American Indian or Alaska Native,4,,,,,,,,,
2022,12 Month,Burlington - Burlington High,00480505,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Cambridge - Cambridge Rindge and Latin,00490506,American Indian or Alaska Native,2,,,,,,,,,
2022,12 Month,Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,08150605,American Indian or Alaska Native,1,,,,,,,,,
2022,12 Month,Central Berkshire - Wahconah Regional High,06350505,American Indian or Alaska Native,1,,,,,,,,,
