entity_name,entity_code,breakdown,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv,% Dropped Out,% Permanently Excluded
New Bedford,02010000,American Indian or Alaska Native,6,50.0,0.0,0.0,0.0,50.0,0.0
State Total,00000000,American Indian or Alaska Native,158,81.6,5.1,0.6,0.6,12.0,0.0
Acton-Boxborough,06000000,Asian,150,98.7,0.7,0.0,0.7,0.0,0.0
Advanced Math and Science Academy Charter (District),04300000,Asian,17,100.0,0.0,0.0,0.0,0.0,0.0
Agawam,00050000,Asian,12,100.0,0.0,0.0,0.0,0.0,0.0
Amherst-Pelham,06050000,Asian,12,91.7,8.3,0.0,0.0,0.0,0.0
Andover,00090000,Asian,78,98.7,0.0,1.3,0.0,0.0,0.0
Arlington,00100000,Asian,47,97.9,2.1,0.0,0.0,0.0,0.0
Ashland,00140000,Asian,31,93.5,0.0,0.0,3.2,3.2,0.0
Attleboro,00160000,Asian,26,88.5,11.5,0.0,0.0,0.0,0.0
Auburn,00170000,Asian,9,88.9,0.0,0.0,0.0,11.1,0.0
Ayer Shirley School District,06160000,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Barnstable,00200000,Asian,8,100.0,0.0,0.0,0.0,0.0,0.0
Bedford,00230000,Asian,33,100.0,0.0,0.0,0.0,0.0,0.0
Bellingham,00250000,Asian,10,100.0,0.0,0.0,0.0,0.0,0.0
Belmont,00260000,Asian,55,98.2,0.0,0.0,0.0,1.8,0.0
Berkshire Hills,06180000,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Beverly,00300000,Asian,10,90.0,0.0,0.0,0.0,10.0,0.0
Billerica,00310000,Asian,27,96.3,3.7,0.0,0.0,0.0,0.0
Blackstone Valley Regional Vocational Technical,08050000,Asian,7,100.0,0.0,0.0,0.0,0.0,0.0
Boston,00350000,Asian,315,91.7,3.2,0.3,0.6,4.1,0.0
Braintree,00400000,Asian,79,94.9,3.8,0.0,1.3,0.0,0.0
Bridgewater-Raynham,06250000,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Brockton,00440000,Asian,27,85.2,11.1,0.0,0.0,3.7,0.0
Brookline,00460000,Asian,91,98.9,0.0,0.0,1.1,0.0,0.0
Burlington,00480000,Asian,38,100.0,0.0,0.0,0.0,0.0,0.0
Cambridge,00490000,Asian,49,98.0,2.0,0.0,0.0,0.0,0.0
Canton,00500000,Asian,22,100.0,0.0,0.0,0.0,0.0,0.0
Chelmsford,00560000,Asian,69,100.0,0.0,0.0,0.0,0.0,0.0
Chicopee,00610000,Asian,14,85.7,0.0,7.1,0.0,7.1,0.0
Concord-Carlisle,06400000,Asian,21,95.2,4.8,0.0,0.0,0.0,0.0
Danvers,00710000,Asian,8,100.0,0.0,0.0,0.0,0.0,0.0
Dedham,00730000,Asian,7,100.0,0.0,0.0,0.0,0.0,0.0
Dover-Sherborn,06550000,Asian,18,100.0,0.0,0.0,0.0,0.0,0.0
Dracut,00790000,Asian,28,96.4,3.6,0.0,0.0,0.0,0.0
Duxbury,00820000,Asian,7,100.0,0.0,0.0,0.0,0.0,0.0
East Longmeadow,00870000,Asian,10,100.0,0.0,0.0,0.0,0.0,0.0
Easton,00880000,Asian,9,100.0,0.0,0.0,0.0,0.0,0.0
Essex North Shore Agricultural and Technical School District,08170000,Asian,9,100.0,0.0,0.0,0.0,0.0,0.0
Everett,00930000,Asian,35,85.7,0.0,11.4,0.0,2.9,0.0
Fall River,00950000,Asian,32,90.6,6.2,3.1,0.0,0.0,0.0
Fitchburg,00970000,Asian,24,95.8,4.2,0.0,0.0,0.0,0.0
Foxborough,00990000,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Framingham,01000000,Asian,26,84.6,11.5,0.0,0.0,3.8,0.0
Franklin,01010000,Asian,31,96.8,3.2,0.0,0.0,0.0,0.0
Frontier,06700000,Asian,8,100.0,0.0,0.0,0.0,0.0,0.0
Gloucester,01070000,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Grafton,01100000,Asian,20,95.0,5.0,0.0,0.0,0.0,0.0
Greater Fall River Regional Vocational Technical,08210000,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Greater Lowell Regional Vocational Technical,08280000,Asian,114,98.2,0.9,0.0,0.0,0.9,0.0
Greater New Bedford Regional Vocational Technical,08250000,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Groton-Dunstable,06730000,Asian,10,90.0,10.0,0.0,0.0,0.0,0.0
Hamilton-Wenham,06750000,Asian,10,100.0,0.0,0.0,0.0,0.0,0.0
Hampden-Wilbraham,06800000,Asian,7,100.0,0.0,0.0,0.0,0.0,0.0
Harvard,01250000,Asian,14,71.4,0.0,28.6,0.0,0.0,0.0
Holbrook,01330000,Asian,7,100.0,0.0,0.0,0.0,0.0,0.0
Holliston,01360000,Asian,16,100.0,0.0,0.0,0.0,0.0,0.0
Hopkinton,01390000,Asian,51,100.0,0.0,0.0,0.0,0.0,0.0
King Philip,06900000,Asian,10,100.0,0.0,0.0,0.0,0.0,0.0
Lawrence,01490000,Asian,14,100.0,0.0,0.0,0.0,0.0,0.0
Leicester,01510000,Asian,7,100.0,0.0,0.0,0.0,0.0,0.0
Leominster,01530000,Asian,22,100.0,0.0,0.0,0.0,0.0,0.0
Lexington,01550000,Asian,245,97.1,2.0,0.0,0.4,0.4,0.0
Lincoln-Sudbury,06950000,Asian,19,89.5,10.5,0.0,0.0,0.0,0.0
Littleton,01580000,Asian,12,100.0,0.0,0.0,0.0,0.0,0.0
Longmeadow,01590000,Asian,24,95.8,4.2,0.0,0.0,0.0,0.0
Lowell,01600000,Asian,233,92.7,4.3,0.9,0.4,1.7,0.0
Lynn,01630000,Asian,70,95.7,2.9,1.4,0.0,0.0,0.0
Lynnfield,01640000,Asian,7,100.0,0.0,0.0,0.0,0.0,0.0
Ma Academy for Math and Science,04680000,Asian,30,100.0,0.0,0.0,0.0,0.0,0.0
Malden,01650000,Asian,105,90.5,5.7,1.9,1.9,0.0,0.0
Mansfield,01670000,Asian,32,96.9,3.1,0.0,0.0,0.0,0.0
Masconomet,07050000,Asian,11,90.9,9.1,0.0,0.0,0.0,0.0
Medfield,01750000,Asian,10,100.0,0.0,0.0,0.0,0.0,0.0
Medford,01760000,Asian,34,85.3,8.8,2.9,0.0,2.9,0.0
Melrose,01780000,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Methuen,01810000,Asian,19,89.5,5.3,5.3,0.0,0.0,0.0
