entity_name,entity_code,breakdown,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv,% Dropped Out,% Permanently Excluded
New Bedford - New Bedford High,02010505,American Indian or Alaska Native,6,50.0,0.0,0.0,0.0,50.0,0.0
Acton-Boxborough - Acton-Boxborough Regional High,06000505,Asian,150,98.7,0.7,0.0,0.7,0.0,0.0
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,Asian,17,100.0,0.0,0.0,0.0,0.0,0.0
Agawam - Agawam High,00050505,Asian,12,100.0,0.0,0.0,0.0,0.0,0.0
Amherst-Pelham - Amherst Regional High,06050505,Asian,12,91.7,8.3,0.0,0.0,0.0,0.0
Andover - Andover High,00090505,Asian,78,98.7,0.0,1.3,0.0,0.0,0.0
Arlington - Arlington High,00100505,Asian,47,97.9,2.1,0.0,0.0,0.0,0.0
Ashland - Ashland High,00140505,Asian,31,93.5,0.0,0.0,3.2,3.2,0.0
Attleboro - Attleboro High,00160505,Asian,25,92.0,8.0,0.0,0.0,0.0,0.0
Auburn - Auburn Senior High,00170505,Asian,9,88.9,0.0,0.0,0.0,11.1,0.0
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Barnstable - Barnstable High,00200505,Asian,8,100.0,0.0,0.0,0.0,0.0,0.0
Bedford - Bedford High,00230505,Asian,33,100.0,0.0,0.0,0.0,0.0,0.0
Bellingham - Bellingham High School,00250505,Asian,10,100.0,0.0,0.0,0.0,0.0,0.0
Belmont - Belmont High,00260505,Asian,54,100.0,0.0,0.0,0.0,0.0,0.0
Berkshire Hills - Monument Mt Regional High,06180505,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Beverly - Beverly High,00300505,Asian,10,90.0,0.0,0.0,0.0,10.0,0.0
Billerica - Billerica Memorial High School,00310505,Asian,27,96.3,3.7,0.0,0.0,0.0,0.0
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,Asian,7,100.0,0.0,0.0,0.0,0.0,0.0
Boston - Boston Latin Academy,00350545,Asian,46,95.7,0.0,0.0,2.2,2.2,0.0
Boston - Boston Latin School,00350560,Asian,89,98.9,1.1,0.0,0.0,0.0,0.0
Boston - Charlestown High School,00350515,Asian,6,66.7,16.7,0.0,0.0,16.7,0.0
Boston - Community Academy of Science and Health,00350581,Asian,6,83.3,16.7,0.0,0.0,0.0,0.0
Boston - Excel High School,00350522,Asian,22,81.8,4.5,0.0,0.0,13.6,0.0
Boston - Henderson K-12 Inclusion School Upper,00350426,Asian,6,83.3,16.7,0.0,0.0,0.0,0.0
Boston - O'Bryant School of Math & Science,00350575,Asian,60,100.0,0.0,0.0,0.0,0.0,0.0
Boston - Quincy Upper School,00350565,Asian,29,100.0,0.0,0.0,0.0,0.0,0.0
Boston - Snowden International High School,00350690,Asian,9,77.8,0.0,0.0,11.1,11.1,0.0
Braintree - Braintree High,00400505,Asian,78,96.2,2.6,0.0,1.3,0.0,0.0
Bridgewater-Raynham - Bridgewater-Raynham Regional,06250505,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Brockton - Brockton High,00440505,Asian,26,84.6,11.5,0.0,0.0,3.8,0.0
Brookline - Brookline High,00460505,Asian,89,98.9,0.0,0.0,1.1,0.0,0.0
Burlington - Burlington High,00480505,Asian,38,100.0,0.0,0.0,0.0,0.0,0.0
Cambridge - Cambridge Rindge and Latin,00490506,Asian,49,98.0,2.0,0.0,0.0,0.0,0.0
Canton - Canton High,00500505,Asian,22,100.0,0.0,0.0,0.0,0.0,0.0
Chelmsford - Chelmsford High,00560505,Asian,69,100.0,0.0,0.0,0.0,0.0,0.0
Chicopee - Chicopee High,00610505,Asian,8,100.0,0.0,0.0,0.0,0.0,0.0
Concord-Carlisle - Concord Carlisle High,06400505,Asian,21,95.2,4.8,0.0,0.0,0.0,0.0
Danvers - Danvers High,00710505,Asian,8,100.0,0.0,0.0,0.0,0.0,0.0
Dedham - Dedham High,00730505,Asian,7,100.0,0.0,0.0,0.0,0.0,0.0
Dover-Sherborn - Dover-Sherborn Regional High,06550505,Asian,18,100.0,0.0,0.0,0.0,0.0,0.0
Dracut - Dracut Senior High,00790505,Asian,28,96.4,3.6,0.0,0.0,0.0,0.0
Duxbury - Duxbury High,00820505,Asian,7,100.0,0.0,0.0,0.0,0.0,0.0
East Longmeadow - East Longmeadow High,00870505,Asian,10,100.0,0.0,0.0,0.0,0.0,0.0
Easton - Oliver Ames High,00880505,Asian,9,100.0,0.0,0.0,0.0,0.0,0.0
Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,08170505,Asian,9,100.0,0.0,0.0,0.0,0.0,0.0
Everett - Everett High,00930505,Asian,35,85.7,0.0,11.4,0.0,2.9,0.0
Fall River - B M C Durfee High,00950505,Asian,29,96.6,0.0,3.4,0.0,0.0,0.0
Fitchburg - Fitchburg High,00970505,Asian,20,100.0,0.0,0.0,0.0,0.0,0.0
Foxborough - Foxborough High,00990505,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Framingham - Framingham High School,01000515,Asian,23,95.7,0.0,0.0,0.0,4.3,0.0
Franklin - Franklin High,01010505,Asian,30,100.0,0.0,0.0,0.0,0.0,0.0
Frontier - Frontier Regional,06700505,Asian,8,100.0,0.0,0.0,0.0,0.0,0.0
Gloucester - Gloucester High,01070505,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Grafton - Grafton High School,01100505,Asian,20,95.0,5.0,0.0,0.0,0.0,0.0
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,08210605,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,08280605,Asian,114,98.2,0.9,0.0,0.0,0.9,0.0
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,08250605,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Groton-Dunstable - Groton Dunstable Regional,06730505,Asian,10,90.0,10.0,0.0,0.0,0.0,0.0
Hamilton-Wenham - Hamilton-Wenham Regional High,06750505,Asian,10,100.0,0.0,0.0,0.0,0.0,0.0
Hampden-Wilbraham - Minnechaug Regional High,06800505,Asian,7,100.0,0.0,0.0,0.0,0.0,0.0
Harvard - The Bromfield High School,01250505,Asian,14,71.4,0.0,28.6,0.0,0.0,0.0
Holbrook - Holbrook Middle High School,01330505,Asian,7,100.0,0.0,0.0,0.0,0.0,0.0
Holliston - Holliston High,01360505,Asian,16,100.0,0.0,0.0,0.0,0.0,0.0
Hopkinton - Hopkinton High,01390505,Asian,51,100.0,0.0,0.0,0.0,0.0,0.0
King Philip - King Philip Regional High,06900505,Asian,10,100.0,0.0,0.0,0.0,0.0,0.0
Lawrence - Lawrence High School,01490515,Asian,12,100.0,0.0,0.0,0.0,0.0,0.0
Leicester - Leicester High,01510505,Asian,7,100.0,0.0,0.0,0.0,0.0,0.0
Leominster - Leominster High School,01530505,Asian,16,100.0,0.0,0.0,0.0,0.0,0.0
Lexington - Lexington High,01550505,Asian,240,98.8,0.4,0.0,0.4,0.4,0.0
Lincoln-Sudbury - Lincoln-Sudbury Regional High,06950505,Asian,17,100.0,0.0,0.0,0.0,0.0,0.0
Littleton - Littleton High School,01580505,Asian,12,100.0,0.0,0.0,0.0,0.0,0.0
Longmeadow - Longmeadow High,01590505,Asian,24,95.8,4.2,0.0,0.0,0.0,0.0
Lowell - Lowell High,01600505,Asian,225,95.6,2.2,0.4,0.4,1.3,0.0
Lynn - Classical High,01630505,Asian,22,90.9,4.5,4.5,0.0,0.0,0.0
Lynn - Lynn English High,01630510,Asian,34,100.0,0.0,0.0,0.0,0.0,0.0
Lynn - Lynn Vocational Technical Institute,01630605,Asian,12,100.0,0.0,0.0,0.0,0.0,0.0
Lynnfield - Lynnfield High,01640505,Asian,7,100.0,0.0,0.0,0.0,0.0,0.0
Ma Academy for Math and Science - Ma Academy for Math and Science School,04680505,Asian,30,100.0,0.0,0.0,0.0,0.0,0.0
Malden - Malden High,01650505,Asian,104,91.3,4.8,1.9,1.9,0.0,0.0
Mansfield - Mansfield High,01670505,Asian,31,100.0,0.0,0.0,0.0,0.0,0.0
Masconomet - Masconomet Regional High School,07050505,Asian,10,100.0,0.0,0.0,0.0,0.0,0.0
Medfield - Medfield Senior High,01750505,Asian,10,100.0,0.0,0.0,0.0,0.0,0.0
Medford - Medford High,01760505,Asian,32,90.6,3.1,3.1,0.0,3.1,0.0
Melrose - Melrose High,01780505,Asian,6,100.0,0.0,0.0,0.0,0.0,0.0
Methuen - Methuen High,01810505,Asian,19,89.5,5.3,5.3,0.0,0.0,0.0
